,/Whole Program/Application::run/HC run simulation/TOS-output data,/Whole Program/Application::run,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve,/Whole Program,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve/PETSC linear solver/PETSC linear iteration,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve/PETSC linear solver,/Whole Program/Application::run/HC run simulation,/Whole Program/Application::run/HC run simulation/TOS-one step,/Whole Program/Application::run/HC run simulation/HC water zero time step,machine
0,0.07519184387386847,0.09801702219561977,0.09836105662010396,0.09833945767963527,0.09490854660395372,0.10784594114166166,0.10784556493415488,0.09944765504128876,0.11714395092381093,0.10289896098590258,ajax
1,0.07592253814831086,0.09773134176126001,0.09853250671647724,0.09850764653944641,0.09491033214046252,0.10790715458818793,0.10790677178292002,0.09906727105878757,0.11713208349320822,0.10238235377093936,ajax
2,0.07650449232796558,0.09803709359675077,0.09867600659603155,0.098655578291662,0.09603451441014511,0.10731493560715424,0.10731721388006825,0.09936570469212329,0.11626327151509833,0.10183118908300075,ajax
3,0.0755484343750969,0.10086570681609003,0.09698302316400273,0.09697167004975447,0.10531283121040065,0.1044737203473607,0.10447322492870459,0.1021509130086301,0.1137528886390489,0.09946758746091117,ajax
4,0.07075683753907262,0.10541451503496788,0.10245523216894656,0.10245318867924348,0.1004694479239604,0.09914811037874799,0.09914774006521529,0.10658138394467677,0.11053007976548677,0.10304346449968205,ajax
5,0.08558135959097196,0.09015887364167346,0.09788377036559341,0.09789330929841727,0.08690861923454823,0.10647312837074042,0.10647298165103483,0.09233902974265651,0.1281728107465264,0.1081161173578374,ajax
6,0.0693926681482596,0.1036323333012773,0.0995928180522201,0.09961188908002191,0.10133530753932157,0.10898680227626253,0.10898493601788747,0.09892218401877549,0.10195134513363928,0.1075897164323348,exmag
7,0.06571042101498002,0.10066467470022948,0.1038361826857397,0.10385150111987794,0.09795142375790929,0.11375955522053094,0.11375779043075422,0.0982497128028059,0.09303999441581397,0.1091787438513588,exmag
8,0.06497466438861615,0.10313830512486112,0.10354586798459563,0.10357787511082601,0.10407972096700169,0.11286869995075968,0.11286661756731836,0.09969901699831174,0.08999571268009399,0.10525351922761568,exmag
9,0.0661259396746955,0.09815250744591739,0.10903704164531737,0.10907470745260447,0.10248751112499212,0.11316616458925047,0.1131658781682241,0.09559646538531948,0.08497063724301303,0.10822314727066626,exmag
