,cpu_hash,cpu_md5,cpu_simple,machine,mem_l1,mem_l2,mem_l3,mem_ll,mmn_s1,mmn_s2,mmn_s3,mmn_s4,mms_s1,mms_s2,mms_s3,mms_s4,mvs_s1,mvs_s2,mvs_s3,mvs_s4
0,1.433002817,1.864739044,0.887512144,luna,0.092757067,0.127320738,0.180496086,0.247814372,0.485310772,0.373064963,0.495228488,1.021880518,2.692941754,3.205870894,2.506952407,2.436541913,0.59832408,0.448702029,0.362418184,0.712608945
1,1.433389704,1.855741313,0.887586638,luna,0.092277189,0.118112714,0.178616834,0.231809978,0.484276952,0.371239305,0.50196016,1.01906718,2.680231835,3.192293178,2.497427985,2.427111199,0.79287302,0.448123251,0.362472341,0.712416847
2,1.435728791,1.857573133,0.888690376,luna,0.093667498,0.119124041,0.179837465,0.228731653,0.485352367,0.371996466,0.494376041,1.018643704,2.708905694,3.188597146,2.524786877,2.433623861,0.582903652,0.441994652,0.370209201,0.713487296
3,1.434670261,1.86444146,0.888365363,luna,0.092031176,0.120454591,0.179154077,0.236817477,0.484901128,0.372532202,0.498827668,1.023347529,2.684499257,3.192856763,2.517515481,2.434247481,0.587217015,0.445772826,0.403649171,0.712491349
4,1.415285594,1.721068589,0.755871617,tarkil,0.137632111,0.167543524,0.248823185,0.267624101,0.448878598,0.383793434,0.506108209,1.250655483,2.461814472,3.249692437,2.515698036,2.460543188,0.585986294,0.439872902,0.366814675,0.715185697
5,1.591930229,1.987483021,0.847572268,tarkil,0.127859276,0.169851234,0.250690622,0.26238769,0.514982769,0.404527062,0.510111678,1.317883683,2.646777272,3.016290283,2.45352201,2.363174596,0.599976598,0.416607619,0.344168822,0.670923499
6,1.558504109,1.910957139,0.830862826,tarkil,0.126623727,0.147289549,0.220232612,0.256943953,0.494581782,0.394693376,0.49886851,1.286835197,2.646166298,3.29654717,2.38716465,2.312761364,0.523265852,0.395161136,0.326832134,0.640935657
7,1.416764029,1.708062373,0.75528324,tarkil,0.140945751,0.168029853,0.251777909,0.25708941,0.447673632,0.358395812,0.457179911,1.217500849,2.416485574,2.98175431,2.442581291,2.211128151,0.521737519,0.393895841,0.326891017,0.642181409
8,1.503386986,1.893803236,0.933919139,tarkil,0.118930713,0.156910451,0.20068041,0.243942719,0.490955628,0.395414761,0.513173816,1.310011939,2.875965344,3.43071042,2.585795331,2.536248521,0.607647128,0.458689816,0.37858115,0.744855992
9,1.524694207,1.837138502,0.837997849,tarkil,0.114690167,0.167707438,0.238288761,0.27380942,0.480601091,0.386161587,0.489357592,1.241097984,2.569811334,3.094260433,2.453938808,2.454814942,0.582001271,0.449742364,0.363369997,0.711573759
10,1.57088365,1.897419517,0.837277657,tarkil,0.155938167,0.164967177,0.248286649,0.269948763,0.49572377,0.383691937,0.487580022,1.217013847,2.777944318,3.340919027,2.605096309,2.457667309,0.540891199,0.393635274,0.332769435,0.642016538
11,1.515404068,1.831665244,0.836555663,tarkil,0.145878679,0.168198707,0.255191686,0.266813281,0.480357525,0.384258,0.486163584,1.255991891,2.564293331,3.183280314,2.416386669,2.365435736,0.565417809,0.42645972,0.35021616,0.685042371
12,1.580718376,1.776857667,0.99953921,ajax,0.076498436,0.092476213,0.189486776,0.224922279,0.516354054,0.395781543,0.763442672,1.031553816,4.584772939,3.453965057,3.491368058,3.341783663,0.611320985,0.526978203,0.515210088,0.706043011
13,1.564289465,1.882613618,0.862377088,tarkil,0.131989333,0.174129632,0.254090553,0.247206872,0.494195878,0.395653279,0.503214496,1.282274793,2.652471591,3.399613047,2.495285304,2.46354779,0.598376625,0.451809256,0.365089433,0.707815154
14,1.629108689,2.001787595,0.866219446,tarkil,0.117748544,0.1598626,0.225245376,0.282434198,0.516337562,0.41594243,0.537678993,1.301802507,2.775143858,3.459528354,2.538951054,2.362627833,0.524700644,0.394664517,0.331639357,0.632476953
15,2.028006644,1.807621418,0.999607385,ajax,0.077057206,0.090853574,0.18844976,0.22480766,0.514757561,0.396296943,0.763322886,1.032509582,4.593338066,3.454104835,3.488721522,3.336140691,0.63887168,0.537795328,0.522958438,0.706622923
16,1.451515128,2.126346146,0.827060791,tarkil,0.145522822,0.17413709,0.255706217,0.26911721,0.499588105,0.398019234,0.510193039,1.316646205,2.646684608,3.299599974,2.535697281,2.521075788,0.612069268,0.438503631,0.361532214,0.712330848
17,1.575844694,1.782088573,0.996409543,ajax,0.080220716,0.096606972,0.188723553,0.224095144,0.513190637,0.395105131,0.761365643,1.029690264,4.566011024,3.452098483,3.569535726,3.329444635,0.615446132,0.528314828,0.516370928,0.703426696
18,1.519200426,1.760418128,0.758303477,tarkil,0.142903404,0.171857526,0.25290482,0.246740793,0.448106223,0.358053027,0.454410498,1.228910691,2.413594945,3.003265245,2.326095578,2.220254409,0.536251445,0.406172492,0.336450673,0.696235664
19,1.575712336,1.779469183,0.996450764,ajax,0.0744157,0.091398207,0.187424492,0.223768005,0.513214444,0.394595112,0.761214273,1.029247978,4.575497337,3.44492717,3.481979877,3.333194602,0.619518399,0.528375571,0.513264991,0.70375985
20,1.421031383,1.789743291,0.753896454,tarkil,0.129589361,0.16701704,0.247063501,0.251456975,0.48928169,0.382296151,0.48353128,1.202841388,2.579485425,3.164373455,2.465683322,2.470142285,0.596034271,0.453732203,0.372476165,0.7324235
21,1.658426088,1.779024695,1.000107286,ajax,0.081220954,0.091991495,0.18852892,0.224618347,0.514729659,0.395714291,0.7645407,1.033824764,4.587471804,3.447435698,3.483231386,3.342487074,0.623585135,0.535564527,0.515050508,0.705504905
22,1.689597898,2.056872468,0.967407068,exmag,0.116303366,0.154165932,0.231002598,0.262344485,0.535051784,0.428915131,0.543795055,1.278378688,2.854563493,3.557277505,2.702777513,2.643941328,0.630105838,0.470293591,0.395215365,0.766038149
23,1.575452293,1.768835027,0.996417179,ajax,0.076087204,0.092816997,0.189517292,0.224108462,0.513079673,0.394889457,0.759646037,1.029601669,4.560621918,3.43838714,3.474607581,3.325039794,0.61747098,0.526948433,0.514413808,0.703536602
24,1.564310518,1.892037214,0.831879361,tarkil,0.127614797,0.148857571,0.22009602,0.24485494,0.490499903,0.379953156,0.488159312,1.248957387,2.619110833,3.246683749,2.53536357,2.514821196,0.600944323,0.451031974,0.374317233,0.730760237
25,1.690546165,2.07479643,0.963717557,exmag,0.129759032,0.169109664,0.24083696,0.261644785,0.535553961,0.429461227,0.548373335,1.254709114,2.854499774,3.568926139,2.696576052,2.647052179,0.657045903,0.47091375,0.386849691,0.767766745
26,1.575619486,1.794152031,0.996715369,ajax,0.080855916,0.095454691,0.187106809,0.224172804,0.513310212,0.394986099,0.760974751,1.029664625,4.594550243,3.450681035,3.499672645,3.33854555,0.653123332,0.528573302,0.562491281,0.703983471
27,1.617227985,1.954804415,0.861799188,tarkil,0.121582189,0.157001322,0.22632299,0.254520142,0.49451472,0.397749794,0.504239115,1.286472979,2.544136657,3.26862454,2.418409399,2.368875128,0.560794477,0.425575692,0.353031521,0.684131795
28,1.688603766,2.056198827,0.899552098,exmag,0.134480118,0.167514987,0.230989402,0.258698222,0.535262521,0.429480158,0.545752355,1.254050065,2.868956906,3.590064317,2.701005907,2.680969227,0.630809612,0.476308504,0.392139968,0.764973337
29,1.575672464,1.779258411,0.99641239,ajax,0.076786975,0.091124351,0.187654939,0.223733799,0.513092715,0.394961005,0.759794044,1.029297407,4.568299789,3.444823964,3.481721927,3.335921526,0.619463498,0.573172145,0.515471786,0.703618165
30,1.691463495,2.074930595,0.898990051,exmag,0.128106242,0.16489549,0.234103166,0.242878429,0.534791195,0.428872146,0.555936494,1.249744958,2.862549466,3.564084858,2.697977092,2.642653235,0.621432146,0.47131775,0.390739076,0.766086975
31,1.435660822,1.873866534,0.88907812,luna,0.093780403,0.121163696,0.178924704,0.251866084,0.485426681,0.373290328,0.500089422,1.029690016,2.683076145,3.187810703,2.509242419,2.424850489,0.585515479,0.443259682,0.364381197,0.71147002
32,1.433769154,1.865845183,0.888132211,luna,0.092309427,0.118304565,0.177858775,0.256734158,0.485382672,0.371925687,0.493743683,1.025072278,2.712940258,3.196279379,2.502294582,2.432395652,0.578339148,0.446523936,0.358235453,0.713095159
33,1.688809688,2.164088762,0.899104667,exmag,0.14443003,0.168102406,0.24683337,0.246837413,0.53654742,0.428802639,0.546943571,1.247817365,2.863118423,3.560361265,2.699291285,2.641596432,0.633144677,0.470465884,0.38685433,0.765540008
